20194002,fn-Iuryar,ln-Tskozbbgg,1996-07-01,C101,1.55
20184761,fn-Gtw,ln-Wesstlehe,2004-06-01,C304,0.04
20204017,fn-Sjxgdiuxx,ln-Qyiy,2005-08-17,C201,3.14
20183561,fn-Hayoag,ln-Kehqtc,1990-02-08,C505,1.57
20204578,fn-Fkpv,ln-Yswmkwwcf,1995-10-05,C306,2.2
20194799,fn-Vdmjp,ln-Nnkvbsna,2010-02-15,C404,3.25
20183593,fn-Hbcnvxpw,ln-Mjhtmtcnz,1999-03-04,C304,1.05
20193541,fn-Xhlmt,ln-Pur,1990-05-08,C603,1.12
20184765,fn-Aetx,ln-Mvj,2006-08-08,C202,1.08
20183803,fn-Khatgfhjka,ln-Vhq,1996-09-17,C105,0.2
20183871,fn-Tttcsgsx,ln-Fskwumw,1992-08-12,C202,1.92
20204287,fn-Zwsnap,ln-Rxy,2006-03-27,C504,1.46
20193916,fn-Tquavixmoz,ln-Zmqzr,2010-05-20,C203,2.34
20204417,fn-Gauajklwfe,ln-Vgsz,1995-06-10,C403,0.09
20183592,fn-Paivfwah,ln-Clf,2008-09-17,C502,1.25
20184308,fn-Ote,ln-Emulpqnv,1995-10-31,C403,2.16
20203673,fn-Nyywwlpyiv,ln-Bajtlgserr,2000-12-23,C402,3.72
20184817,fn-Xkzao,ln-Bsjikjp,2003-03-01,C206,2.75
20194068,fn-Rywkilv,ln-Lyru,1993-01-21,C206,3.92
20184969,fn-Wmqqqckb,ln-Fohhr,1994-12-01,C404,0.01
20183666,fn-Nljdfjltxy,ln-Bftwocdxv,2003-01-23,C305,3.48
20193646,fn-Fwjmbz,ln-Jtwtvyae,1990-06-22,C301,3.56
20194072,fn-Bibeq,ln-Sptetrn,2010-10-25,C101,1.4
20184049,fn-Cuqcc,ln-Aohnjpmdj,2000-08-18,C601,3.83
20193407,fn-Cqgmd,ln-Tsnsxdvd,2003-05-22,C201,3.39
20193631,fn-Juujtuo,ln-Inlbfm,1996-06-19,C104,3.3
20204398,fn-Jsucatwfx,ln-Ajbvk,2007-05-20,C205,3.82
20194523,fn-Pekh,ln-Aeerwakd,2008-12-16,C605,2.57
20204283,fn-Eojijqmk,ln-Taevme,2008-01-22,C501,1.92
20194489,fn-Azjd,ln-Yny,2006-01-05,C305,1.78
20204610,fn-Jxqfqyf,ln-Nltdkgyz,2002-04-13,C102,3.97
20184476,fn-Cveme,ln-Lvcr,1993-06-05,C104,1.59
20184837,fn-Iqhtjphs,ln-Fluuwiajmu,2004-02-07,C203,2.02
20204278,fn-Agshygh,ln-Xzmozqtdu,1995-11-23,C406,3.52
20194726,fn-Sjlktzesv,ln-Fagez,2002-03-18,C301,1.75
20184683,fn-Ktjee,ln-Pkm,2010-02-05,C204,2.53
20183720,fn-Sduzfuv,ln-Xql,2009-12-16,C506,3.11
20194037,fn-Ikkgjdjbbt,ln-Djp,1998-03-31,C603,1.33
20183701,fn-Qfxvxmpobk,ln-Lxtagg,2002-05-16,C602,3.55
20184202,fn-Zqke,ln-Uizdeoo,1990-10-08,C303,1.82
20183570,fn-Lqryf,ln-Ghfs,1992-02-06,C201,3.31
20204067,fn-Fyjx,ln-Gbzv,2003-12-08,C105,0.28
20183620,fn-Xcoif,ln-Slqeave,1999-04-05,C602,3.93
20204778,fn-Wcmdwuzkk,ln-Rxrhn,1999-07-04,C306,0.49
20194569,fn-Xggpqc,ln-Cel,2009-06-17,C206,2.53
20203476,fn-Vwk,ln-Wotauuuz,2003-10-22,C106,0.78
20203574,fn-Nlmucskuwm,ln-Ljs,1996-05-28,C105,1.13
20203716,fn-Tzgynkk,ln-Mgk,2005-07-16,C605,2.7
20194371,fn-Afcrntemm,ln-Umboii,2007-04-17,C602,2.88
20203662,fn-Huzx,ln-Trwm,1996-07-22,C405,0.06
20184628,fn-Kcojsfndiy,ln-Ezachs,2002-12-06,C401,1.46
20204510,fn-Yuonxma,ln-Psd,1998-09-24,C402,0.2
20203497,fn-Wxmt,ln-Cqbjluvh,2005-06-12,C404,1.0
20183994,fn-Ikunkc,ln-Gfblorx,2004-01-30,C605,3.83
20183438,fn-Vhth,ln-Yrgnipts,2002-10-24,C403,0.05
20194329,fn-Sylsfeeru,ln-Gfwbc,1993-11-05,C606,2.79
20183649,fn-Gtsb,ln-Aoeyotacsw,1999-12-06,C402,3.04
20204572,fn-Npwdty,ln-Pzbnvuoqd,1995-06-27,C303,2.4
20204939,fn-Vyqkzyynwz,ln-Czpnixrerg,1995-07-01,C206,3.35
20183964,fn-Nbjczt,ln-Zezvgzvjs,1998-12-27,C302,3.4
20183591,fn-Xudlxt,ln-Plnngfn,1997-03-12,C503,1.99
20183915,fn-Dmphbmbqz,ln-Tpfkusa,2004-01-26,C302,3.23
20203751,fn-Fwodzxt,ln-Cbvurt,2006-10-08,C405,1.48
20204069,fn-Wyzllo,ln-Voteqndk,2010-04-20,C501,1.04
20204018,fn-Bno,ln-Bnelyshd,2003-04-21,C404,1.46
20193844,fn-Gfit,ln-Pnaxdi,1998-05-19,C104,3.03
20204823,fn-Mznuygwdaa,ln-Tisfddwtns,2005-10-09,C604,1.29
20203901,fn-Tgfhimld,ln-Kpthjx,1998-06-01,C601,0.56
20204939,fn-Lzy,ln-Bnuf,1994-09-17,C404,0.07
20184387,fn-Ruumdtytk,ln-Piu,1999-06-27,C206,2.95
20203851,fn-Sottygqc,ln-Hxkrqkf,2010-09-29,C205,0.92
20203951,fn-Zbgbuszd,ln-Kavldhjfzz,2009-06-16,C206,3.04
20193922,fn-Cilwqdzy,ln-Qzvmtvfjrj,2009-05-19,C603,1.03
20203871,fn-Pbwjcpg,ln-Uzvv,2005-08-20,C603,2.88
20183921,fn-Slaagxcgj,ln-Xwdqor,1995-12-24,C401,2.91
20194036,fn-Kqcolykajn,ln-Pciikkwj,2006-08-19,C301,0.2
20194968,fn-Fikdgkq,ln-Bmdghiz,2003-01-28,C302,0.2
20193801,fn-Prwjjqg,ln-Yuisioprzq,2001-02-04,C405,1.85
20204043,fn-Obs,ln-Fhi,2003-11-13,C501,3.63
20204059,fn-Sguayz,ln-Uwfvjwk,2007-01-23,C406,2.42
20184002,fn-Ytjhsrwfzn,ln-Ceoovxydx,2006-09-16,C205,0.91
20184396,fn-Fmeqomsmld,ln-Dljwbr,2005-09-07,C601,2.31
20184852,fn-Csngrdcaw,ln-Jxgyax,2001-04-10,C105,2.14
20183468,fn-Nmnwhiv,ln-Icodmgsl,2006-10-07,C204,0.65
20183575,fn-Rzmtt,ln-Ylzmysty,1996-07-27,C202,0.82
20183987,fn-Lxl,ln-Hiuw,2002-10-04,C601,2.17
20204869,fn-Fjya,ln-Rld,1993-04-05,C406,1.49
20193888,fn-Ionxjnilq,ln-Zdusz,1998-10-06,C202,1.08
20204658,fn-Axqvytws,ln-Cutn,2006-01-23,C206,3.28
20183680,fn-Qyrlxikpvg,ln-Dsfkp,1994-01-18,C203,3.01
20194835,fn-Bzsxgap,ln-Jkxscwwfly,2008-09-02,C104,1.91
20204836,fn-Gvzjshekh,ln-Yhmlz,1990-02-20,C406,0.29
20193415,fn-Eztvrdj,ln-Zdzcff,2003-01-13,C506,3.39
20194237,fn-Ujfzlybp,ln-Luhdnsejfl,2000-11-22,C505,2.67
20183879,fn-Xyjshaikal,ln-Vljzpp,2010-08-31,C102,1.3
20194741,fn-Oimbdh,ln-Hbwzkalxe,2005-03-05,C401,3.78
20184630,fn-Wxf,ln-Vogym,1992-11-25,C203,2.24
20183656,fn-Hprsd,ln-Einp,1993-03-21,C403,2.39
20204869,fn-Zqllp,ln-Sxvjryl,2000-03-29,C401,0.08
20184363,fn-Bnaka,ln-Ogquhtlvtb,1995-01-10,C206,1.38
20184387,fn-Eawbaor,ln-Lsq,1996-07-19,C605,1.41
20184450,fn-Wsu,ln-Tstgz,2009-10-15,C502,0.71
20194684,fn-Rqdpw,ln-Cnntcfxgjf,2008-12-31,C601,0.3
20184569,fn-Cohzcopiu,ln-Utgrjgm,1995-08-20,C605,0.89
20204758,fn-Ilrn,ln-Mya,2007-02-03,C601,0.04
20204310,fn-Swcvncy,ln-Iugxh,1993-12-04,C403,1.99
20194406,fn-Cbywgevxd,ln-Lggbp,1999-08-01,C105,1.17
20184039,fn-Dpcrj,ln-Fuhum,2000-04-06,C501,1.59
20203944,fn-Zqtdckhum,ln-Bagco,2001-06-16,C505,1.76
20184301,fn-Ruzgwleyul,ln-Zvu,2003-02-30,C603,1.47
20204280,fn-Ougl,ln-Yao,1996-11-22,C201,1.31
20193751,fn-Duwarwcuto,ln-Czic,1999-12-15,C401,2.21
20183884,fn-Zoevpjyzo,ln-Eqoqancr,1999-02-21,C106,0.6
20203910,fn-Nfcexk,ln-Fhidukmahf,2010-12-25,C606,2.68
20184642,fn-Ocpmgwbunc,ln-Sdo,1996-12-21,C401,1.99
20184357,fn-Fzkhvr,ln-Jdp,1994-08-01,C205,1.09
20193746,fn-Osblzgh,ln-Jfwqe,2009-01-28,C505,3.73
20184253,fn-Rzvjpmlqm,ln-Ker,1990-06-21,C102,3.13
20193638,fn-Puxwpxfrvp,ln-Qsq,1997-09-20,C604,3.16
20183485,fn-Waxuuofvj,ln-Zepp,2008-07-12,C306,2.81
20203465,fn-Ljb,ln-Qkigcnlmc,1993-02-16,C604,3.35
20204053,fn-Wsujs,ln-Iuaokp,1999-02-05,C605,0.23
20204254,fn-Pbxvwno,ln-Mtwlftwagb,2004-11-16,C604,3.49
20203422,fn-Klrpndox,ln-Kvlivjedam,2003-05-27,C404,2.8
20203977,fn-Udbyzijcq,ln-Slxuvsh,2010-09-15,C506,0.93
20203903,fn-Okds,ln-Learo,1994-01-12,C305,0.15
20194610,fn-Xhaicwge,ln-Vbzkfhlwh,2002-09-22,C205,1.82
20194963,fn-Eiap,ln-Ynbonyh,1998-04-07,C404,1.73
20193523,fn-Ucezo,ln-Kowauy,1991-12-09,C201,2.38
20184502,fn-Amdnnlrmrk,ln-Tqbsszsv,1999-10-29,C605,0.6
20193930,fn-Bnow,ln-Cujrm,2000-12-07,C205,2.68
20203790,fn-Muw,ln-Nriiox,2007-04-27,C504,2.37
20184179,fn-Lsaonqmy,ln-Txzn,1993-07-04,C206,1.78
20194949,fn-Apqqzvv,ln-Pxlfhbm,1999-02-07,C303,3.3
20193581,fn-Jjwe,ln-Acfdhomcr,1992-11-30,C306,0.43
20184455,fn-Enfbb,ln-Qinise,2003-09-21,C204,1.32
20194221,fn-Qctkenqi,ln-Wjvio,2001-11-06,C606,3.67
20184403,fn-Kxqlx,ln-Ksxpb,2010-09-27,C104,1.73
